card_select.avail_basic	此角色可使用基本角色卡來創造
pli_windowrackingview.1	橡木桶更換\nRacking
pli_windowrackingview.2	葡萄酒排出量
pli_windowreadmemoview.1	關閉
pli_windowreadmemoview.2	無論在任何情況下\nGM也不會要求帳號, 密碼等的帳號資訊.
pli_windowrecommendhistoryview.1	總經驗值 : {0}
pli_windowrecommendhistoryview.2	(我的公會加入 +70)
pli_windowrecommendinfoview.1	推薦等級 {0}
pli_windowrecommendinfoview.2	目前經驗值 : {0}\n下個等級 : {1}
pli_windowrecommendinfoview.3	目前經驗值 : {0}
pli_windowrecommendinfoview.4	沒有
pli_windowrecommendinfoview.5	{0}階段
pli_windowrecommendinputview.1	無法推薦自己.
pli_windowrecommendinputview.2	要推薦[{0}]伺服器的[{1}]嗎?
pli_windowrecommendinputview.3	現在沒有輸入推薦者時\n以後就無法推薦別的角色了.\n\n如此還要取消嗎?
pli_windowrecommendinputview.4	可以使用右下方的 <註冊推薦人> 按鈕註冊推薦人.\n但是帳號內只要有累積等級100以上時, 就無法註冊.
pli_windowrecommendinputview.5	우측 하단의 <추천인 등록> 버튼으로 추천인을 등록할 수 있습니다.\n단, 계정 내 누적레벨 {0} 이상인 캐릭터가 존재하게 되면, 추천인을 등록할 수 없습니다.
pli_windowrecommendinputview.6	透過角色選擇畫面的 <註冊推薦人> 按鍵可註冊推薦人.\n但, 帳號內若存在累積等級 {0} 以上的角色的話, 便無法註冊推薦人.
pli_windowrelationballoon.1	想要詳細了解就請點擊.
pli_windowrewardview.1	成就日記達成分數 : {0} 分
pli_windowrewardview.2	'{0}'達成.
pli_windowrewardview.3	全部關閉
pli_windowrockpaperscissorsballoon.1	觀戰中無法進行對決.
pli_windowroulettegame.1	名字顏色變更
pli_windowroulettegame.2	請把輪盤的左邊往下拉後放手.
pli_windowroulettegame.3	取消
pli_windowroulettegame.4	機會!!\n可以選擇更帥氣的顏色了.
pli_windowroulettegame.5	聊天顏色變更
pli_windowroulettegame.6	名稱/聊天顏色變更
pli_windowschool.1	沒有結束時間.
pli_windowscorescroll.1	歌唱
pli_windowscorescroll.2	必須要輸入旋律線或歌唱線才行.
pli_windowscorescroll.3	作曲系統
pli_windowscorescroll.4	開啟新瑪奇官網上的作曲頁面.
pli_windowscorescroll.5	使用剪貼簿複製
pli_windowscorescroll.6	使用剪貼簿複製樂譜的內容.\n被複製的內容可利用Ctrl+V貼到記事本等外部程式中.
pli_windowscorescroll.7	作曲者設定為非公開\n或在商店中販售的樂譜\n是無法複製的.
pli_windowsearchnpc.1	請輸入欲尋找的NPC名稱.
pli_windowselectcharacterforrewardview.1	確認
pli_windowselectcharacterforrewardview.2	解除
pli_windowselectcharacterforrewardview.3	成功解除卡片.\n使用相關角色登入遊戲，可獲得道具
pli_windowselectcharacterforrewardview.4	成功
pli_windowselectcharacterforrewardview.5	解除卡片失敗
pli_windowselectcharacterforrewardview.6	失敗
pli_windowselectrespawn.1	在原地復活.
pli_windowselectrespawn.2	原地復活.
pli_windowselectrespawn.3	可以不受任何懲罰在原地復活.
pli_windowselectrespawn.4	今天無法再請求娜歐來援助.\n明天上午 6點後才可以再次請求.
pli_windowselectrespawn.5	在碼頭復活
pli_windowselectrespawn.6	在碼頭復活.\n\n- 生命值恢復100%\n- 受傷恢復50%\n- 損失{0}經驗值
pli_windowselectrespawn.7	選擇在碼頭復活時可以較少的處罰復活,\n但是會從船上下來,與隊伍拉開較遠距離.
pli_windowselectrespawn.8	請求娜歐的幫助.\n\n- 生命值恢復 100%\n- 負傷恢復 100%\n- 損失 {0} 經驗值\n賦予裝備祝福的效果\n\n使用娜歐支援服務\n可以請求娜歐幫你復活.
pli_windowselectrespawn.9	오늘은 더 이상 나오에게 도움을 요청할 수 없습니다.\n현실 시간으로 하루에 1번만 받을 수 있습니다.
pli_windowselectrespawn.10	升段考試中處於無法移動狀態後 \n10秒後可自動復活.\n目前還剩餘{0}秒.
pli_windowselectrespawn.11	雖然在村子裡復活可以減輕處罰\n但那樣就離現在的地方蠻遠的.\n而且在其他地方復活的話,獲得的星星就會失去.
pli_windowselectrespawn.12	復活在我方區域
pli_windowselectrespawn.13	要復活在我方隊伍區域的任一地方.\n將會扔掉已獲得的旗子並沒有其他處罰.
pli_windowselectrespawn.14	向娜歐請求幫助[優惠券] ({0})
pli_windowselectrespawn.15	請求娜歐協助復活.\n\n- 生命力 100%恢復\n- 負傷100%恢復\n- {0}經驗值損失\n裝備品祝福效果\n\n使用優惠券\n可使用娜歐的復活.
pli_windowselectrespawn.16	 購買娜歐優惠券
pli_windowselectrespawn.17	在戰場內復活
pli_windowselectrespawn.18	在戰場上復活. 沒有處罰.
pli_windowselectrespawn.19	向娜歐求救 ({0})
pli_windowselectrespawn.20	向娜歐求救.\n\n - 生命力恢復 100% \n - 負傷恢復 100% \n - {0} 經驗值損失\n裝備的祝福效果\n\n使用娜歐的靈魂石\n就可向娜歐求救.
pli_windowselectrespawn.21	Buy Nao's Soulstone\n購買娜歐的靈魂石
pli_windowselectrespawn.22	使用在商城購買的娜歐的靈魂石復活, 可以降低處罰比例.\n而娜歐在協助復活時, 也會為你裝備的所有道具, 給予祝福.
pli_windowselectrespawn.23	在村莊裡復活的話雖然可以沒有復活處罰\n但會離現在的隊伍較遠.
pli_windowselectrespawn.24	在村莊裡復活的話雖然可以沒有復活處罰\n但會離現在的位置較遠.\n而且離開現在地區進行復活的話已獲得的星星會消失.
pli_windowselectrespawn.25	在村莊裡復活的話雖然可以沒有復活處罰\n但會離現在的隊伍較遠.
pli_windowselectrespawn.26	Ask Morian for help\n茉麗安的加護({0})
pli_windowselectrespawn.27	以茉麗安的加護來復活.\n\n- 生命力 100% 恢復\n- 負傷 100% 恢復\n- {0} 經驗值損失\n裝備品的祝福效果
pli_windowselectrespawn.28	沒撿取掉落的物品就離開這裡的話,\n物品將移動到議會廳.找回時需要支付一定的費用.\n沒有問題嗎?
pli_windowselectrespawn.29	沒撿取掉落的物品就離開這裡的話,\n物品將移動到議會廳.找回時需要支付一定的費用.\n沒有問題嗎?
pli_windowselectrespawn.30	使用氣球復活
pli_windowselectrespawn.31	使用氣球復活.\n\n- 生命值 100% 恢復\n- 負傷 100% 恢復\n- 損失 {0} 經驗值
pli_windowselectrespawn.32	目前是因為沒有復活處罰狀態的關係\n在原地復活也不會扣除經驗值.\n\n如此也要使用氣球復活嗎?
pli_windowselectrespawn.33	- 貿易品損失 10% 
pli_windowselectrespawn.34	Ask Partner Pet for help\n尋求夥伴的協助
pli_windowselectrespawn.35	向夥伴提出復活需求.\n\n-生命力恢復100% \n-負傷恢復100% \n- {0}經驗值減少.
pli_windowselectrespawn.36	Use Guard Soulstone\n為了復活使用守護靈魂石 ({0})
pli_windowselectrespawn.37	使用守護靈魂石進行復活.\n\n- 生命力恢復 100% \n- 負傷恢復 100% \n- {0} 經驗值損失\n獲得裝備上祝福效果\n暫時可以承受敵人攻擊的能力.
pli_windowselectrespawn.38	Buy Guard Soulstone\n購買守護靈魂石
pli_windowselectrespawn.39	可以在商城購買守護靈魂石後進行較少懲處的復活.\n復活時可以獲得讓所有道具上賦予祝福且短暫可以承受敵人攻擊的能力.
pli_windowselectrespawn.40	使用美容幣復活 ({0})
pli_windowselectrespawn.41	購買美容幣
pli_windowselectrespawn.42	{0}美容幣使用使其復活\n\n- 生命值恢復 100% \n- 負傷恢復 100% \n- {1} 經驗值損失\n賦予裝備祝福的效果
pli_windowselectrespawn.43	要求初音未來的協助({0})
pli_windowselectrespawn.44	向初音未來請求復活.\n\n- 生命力 100%恢復\n- 負傷 100%恢復\n- {0} 經驗值損失\n- 裝備用品的祝福效果\n使用初音未來的靈魂石\n可以向初音未來請求協助.
pli_windowselectrespawn.45	在原地馬上復活.\n\n- 生命值 {0} 恢復\n- {1} 經驗值損失\n
pli_windowsell.1	經驗值 {0} Exp\n
pli_windowsell.2	經驗值 {0}%\n
pli_windowsell.3	探險經驗值 {0} Exp\n
pli_windowsell.4	探險經驗值 {0}%\n
pli_windowsell.5	達到了最大等級或是探險等級.\n販賣時部分獎勵無法獲得.
pli_windowsell.6	到達最大探險等級後,探險經驗值無法獲得.
pli_windowsell.7	精靈經驗值 {0} Exp
pli_windowsendmemoview.1	傳送短訊
pli_windowsendmemoview.2	關閉
pli_windowserviceinfo.1	背包PLUS服務 :
pli_windowserviceinfo.2	優質生活服務 :
pli_windowserviceinfo.3	프리미엄 PC방 사용 중
pli_windowserviceinfo.4	購買套餐
pli_windowserviceinfo.5	초보자 무료 서비스 제공중
pli_windowserviceinfo.6	초보자 무료 서비스 제공중
pli_windowserviceinfo.7	新夢想生活VIP服務 :
pli_windowserviceinfo.8	從{0}年 {1}月 {2}日 {3}點 {4}分開始到 {5}年 {6}月 {7}日 {8}點 {9}分
pli_windowserviceinfo.9	提供免費服務中
pli_windowserviceinfo.10	提供免費服務中
pli_windowserviceinfo.11	尊榮生活VVIP服務 :
pli_windowserviceinfo.12	公會服務:
pli_windowserviceinfo.13	台灣神秘商店:
pli_windowserviceinfo.14	使用中
pli_windowserviceinfo.15	台灣神秘商店:
pli_windowserviceinfo.16	使用中
pli_windowserviceinfo.17	榮耀之尊 :
pli_windowserviceinfo.18	초보자 혜택
pli_windowserviceinfo.19	PC방 혜택
pli_windowshadowmissionboard.1	動物角色無法使用.
pli_windowshadowmissionboard.2	影子任務 留言板
pli_windowshadowmissionboard.3	接受任務
pli_windowshadowmissionboard.4	加入隊伍
pli_windowshadowmissionboard.5	關閉
pli_windowshadowmissionboard.6	任務名稱
pli_windowshadowmissionboard.7	限累積等級
pli_windowshadowmissionboard.8	執行人員
pli_windowshadowmissionboard.9	限制時間
pli_windowshadowmissionboard.10	任務情報更新中.
pli_windowshadowmissionboard.11	動物角色無法使用.
pli_windowshadowmissionboard.12	接收影子任務
pli_windowshadowmissionboard.13	影子任務隊伍 留言板註冊
pli_windowshadowmissionboard.14	輸入組隊說明
pli_windowshadowmissionboard.15	說明
pli_windowshadowmissionboard.16	密碼
pli_windowshadowmissionboard.17	
pli_windowshadowmissionboard.18	
pli_windowshadowmissionboard.19	任務完成獎勵
pli_windowshadowmissionboard.20	接受
pli_windowshadowmissionboard.21	註冊
pli_windowshadowmissionboard.22	取消
pli_windowshadowmissionboard.23	執行區域
pli_windowshadowmissionboard.24	任務等級
pli_windowshadowmissionboard.25	限累積等級
pli_windowshadowmissionboard.26	執行人員
pli_windowshadowmissionboard.27	{0}人
pli_windowshadowmissionboard.28	限制時間
pli_windowshadowmissionboard.29	無
pli_windowshadowmissionboard.30	任務內容
pli_windowshadowmissionboard.31	距離留言板太遠,無法接受任務.
pli_windowshadowmissionboard.32	隊伍說明內容太少.\n至少應輸入4個字元以上.
pli_windowshadowmissionboard.33	已經存在進行中的影子任務.\n請待該任務結束後再試.
pli_windowshadowmissionboard.34	接受任務的等級太低.
pli_windowshadowmissionboard.35	只有隊長才能接受任務
pli_windowshadowmissionboard.36	接受任務中. 請稍候.
pli_windowshadowmissionboard.37	動物角色無法使用.
pli_windowshadowmissionboard.38	以隊長的名字為基準,從低到高 排序.
pli_windowshadowmissionboard.39	以隊長的名字為基準,從高到低 排序.
pli_windowshadowmissionboard.40	以任務名稱為基準,從低到高排序.
pli_windowshadowmissionboard.41	以任務名稱為基準,從高到低排序.
pli_windowshadowmissionboard.42	依照可用人員從少到多 排序.
pli_windowshadowmissionboard.43	依照可用人員從多到少 排序.
pli_windowshadowmissionboard.44	以資訊為基準,從低到高排序.
pli_windowshadowmissionboard.45	以資訊為基準,從高到低排序.
pli_windowshadowmissionboard.46	隊長
pli_windowshadowmissionboard.47	任務
pli_windowshadowmissionboard.48	人員
pli_windowshadowmissionboard.49	訊息
pli_windowshadowmissionboard.50	加入
pli_windowshadowmissionboard.51	任務登錄
pli_windowshadowmissionboard.52	重新整理
pli_windowshadowmissionboard.53	距離留言板太遠,無法獲取隊伍清單.
pli_windowshadowmissionboard.54	距離留言板太遠,無法登錄.
pli_windowshadowmissionboard.55	加入
pli_windowshadowmissionboard.56	非公開隊伍
pli_windowshadowmissionboard.57	屬於公開隊伍.
pli_windowshadowmissionboard.58	必要物品
pli_windowshadowmissionboard.59	無
pli_windowshadowmissionboard.60	告知
pli_windowshadowmissionboard.61	適用才能等級
pli_windowshadowmissionboard.62	適用才能等級
pli_windowshadowmissionboard.63	組隊全體所需道具
pli_windowshadowmissionboard.64	要進行任務,才能等級太低.
pli_windowshadowmissionboard.65	所屬於騎士團的狀態下,無法接收影子任務.
pli_windowshadowmissionboard.66	請選擇要使用的無限制影子任務通行證.
pli_windowshadowmissionboard.67	為了執行菁英任務需要有在影子世界的寶物箱子中獲得的專用通行證, 或是無限制影子任務通行證.
pli_windowshadowmissionboard.68	菁英通行證 - {0}
pli_windowshadowmissionboard.69	請選擇要使用的菁英通行證.
pli_windowshadowmissioncomplete.1	確認 OK
pli_windowshadowmissionfail.1	確認 OK
pli_windowshopadvertiseboard.0	物品名稱
pli_windowshopadvertiseboard.1	販賣者
pli_windowshopadvertiseboard.2	廣告關鍵字
pli_windowshopadvertiseboard.3	物品價格
pli_windowshopadvertiseboard.4	廣告關鍵字 :
pli_windowshopadvertiseboard.5	接收
pli_windowshopadvertiseboard.6	廣告售完.
pli_windowshopadvertiseboard.7	房屋商店廣告板
pli_windowshopadvertiseboard.8	關鍵字
pli_windowshopadvertiseboard.9	搜尋
pli_windowshopadvertiseboard.10	販賣者
pli_windowshopadvertiseboard.11	物品
pli_windowshopadvertiseboard.12	物品價格
pli_windowshopadvertiseboard.13	接收廣告
pli_windowshopadvertiseboard.14	前{0}頁
pli_windowshopadvertiseboard.15	上一頁
pli_windowshopadvertiseboard.16	下一頁
pli_windowshopadvertiseboard.17	後{0}頁
pli_windowshopadvertiseboard.18	關閉
pli_windowshopadvertiseboard.19	販賣者
pli_windowshopadvertiseboard.20	物品
pli_windowshopadvertiseboard.21	物品價格
pli_windowsimpleskill.1	擴大
pli_windowsimpleskill.2	修練才能效果
pli_windowsimpleskill.3	需{0} 重生
pli_windowsimpleskill.4	角色等級效果
pli_windowsimpleskill.5	需{0} 重生
pli_windowsimpleskill.6	修練才能效果
pli_windowsimpleskill.7	{0} {1} 才能技能修練值 2倍
pli_windowsimpleskill.8	符合目前選擇中的修練才能的技能\n 會套用修練次數 2倍\n可更快速地進行修練\n此效果會與其他修練值增加效果重疊.
pli_windowsimpleskill.9	角色等級效果
pli_windowsimpleskill.10	{0} {1} 才能技能修練經驗值 {2}.{3}倍
pli_windowsimpleskill.11	角色等級每達到一定程度時\n 每次修練符合目前選擇中的\n 修練才能的技能時\n 會增加獲得的技能修練經驗值\n 此效果會與其他修練經驗值增加效果重疊.
pli_windowsimpleskill.12	 相關
pli_windowskill.1	布里歐納克技能修練
pli_windowskill.2	簡化
pli_windowskill.3	修練才能效果
pli_windowskill.4	需{0} 重生
pli_windowskill.5	角色等級效果
pli_windowskill.6	需{0} 重生
pli_windowskill.7	修練才能效果
pli_windowskill.8	{0} {1} 才能技能修練值 2倍
pli_windowskill.9	符合目前選擇中的修練才能的技能\n 會套用修練次數 2倍\n可更快速地進行修練\n此效果會與其他修練值增加效果重疊.
pli_windowskill.10	角色等級效果
pli_windowskill.11	{0} {1} 才能技能修練經驗值 {2}.{3}倍
pli_windowskill.12	角色等級每達到一定程度時\n 每次修練符合目前選擇中的\n 修練才能的技能時\n 會增加獲得的技能修練經驗值\n 此效果會與其他修練經驗值增加效果重疊.
pli_windowskill.13	修練才能效果 \n 需{0} 重生
pli_windowskill.14	角色等級效果\n 需{0} 重生
pli_windowskill.15	修練才能效果 \n {0} {1} 才能技能修練值 2倍
pli_windowskill.16	符合目前選擇中的修練才能的技能\n 會套用修練次數 2倍\n可更快速地進行修練\n此效果會與其他修練值增加效果重疊.
pli_windowskill.17	角色等級效果\n {0} {1} 才能技能修練經驗值 {2}.{3}倍
pli_windowskill.18	角色等級每達到一定程度時\n 每次修練符合目前選擇中的\n 修練才能的技能時\n 會增加獲得的技能修練經驗值\n 此效果會與其他修練經驗值增加效果重疊.
pli_windowskill.19	 相關
pli_windowskill.20	 相關
pli_windowskill.21	종합 전투 스킬 레벨 : {0}
pli_windowskill.22	종합 생활 스킬 레벨 : {0}
pli_windowskill.23	전투재능 및 전투 관련 히든 스킬을 1랭크 승급할 때마다 1씩 상승합니다.
pli_windowskill.24	생활재능 및 생활 관련 히든 스킬을 1랭크 승급할 때마다 1씩 상승합니다.
pli_windowskill.25	전투재능 및 전투 관련 히든 스킬을 1랭크 승급할 때마다 1씩 상승합니다.
pli_windowskill.26	생활재능 및 생활 관련 히든 스킬을 1랭크 승급할 때마다 1씩 상승합니다.
pli_windowskillbar.0	變更快捷鍵設定.快捷鍵 (Left Shift + Tab)
pli_windowskillbar.1	變更快捷鍵位置.\n(快捷鍵 'Left Shift + Tab')
pli_windowskillbar.2	沒有可以使用的 {0}
pli_windowskillbar.3	快捷鍵欄位變更.\n(快捷鍵 'Ctrl + 0 ~ Ctrl + 8
pli_windowskillbar.4	快捷鍵欄位變更.\n(快捷鍵 'Ctrl + 0 ~ Ctrl + 8
pli_windowskillbarbase.1	使用服裝動作第2 技能變身時，可用相關的技能解除變身. 
pli_windowskillbutton.1	使用{0}
pli_windowskillbutton.2	{0}'表情動作
pli_windowskillbutton.3	\n使用次數 {0}
pli_windowskillbutton.4	修練獎勵 (2倍)
pli_windowskillbutton.5	{0} 召喚
pli_windowskillbutton.6	變身 {0}
pli_windowskillbutton.7	解除變身
pli_windowskillbutton.8	\n\n備忘錄 : <color=1>{0}</color>
pli_windowskillbutton.9	<color=2>無魔力凝聚技能</color>
pli_windowskillbutton.10	{0}{으로} 장비 교체
pli_windowskilldesc.1	升段方法
pli_windowskilldesc.2	code.interface.window.skill_desc.msg_skill_desc_title
pli_windowskilldesc.3	累積升段經驗值可提升一個等級. 現實時間4週內如果不進行升段考試,將自動失去1次的升段經驗值. 升段經驗值全部失去後, 等級不會降低.
pli_windowskilldesc.4	Skill Description\n技能說明
pli_windowskilldesc.5	Skill Promotion\n技能升段方法
pli_windowskilldesc.6	修練獎勵 (2倍)
pli_windowskilldesc2.1	修練獎勵 (2倍)
pli_windowskilldesc2.2	才能經驗值
pli_windowskilldesc2.3	升段修練方法
pli_windowskilldesc2.4	特技情報
pli_windowskilldesc2.5	特技說明
pli_windowskillframe2.1	<color=2>習得技能</color>
pli_windowskillframe2.2	<color=2>升等</color>
pli_windowskillframe2.3	<color=2>修練</color>
pli_windowskillframe2.4	修練
pli_windowskillframe2.5	修練
pli_windowskillframe2.6	修練
pli_windowskillframe2.7	使用道具
pli_windowskillframe2.8	要提升該技能的修練值嗎?
pli_windowskillframe2.9	確認
pli_windowskillframe2.10	取消
pli_windowskillframe2.11	AP 修練
pli_windowskillframe2.12	管理
pli_windowskillframe2.13	此為達成1等級時可升段的技能.
pli_windowskillframe2.14	此為可升段的技能.
pli_windowskillframes.1	修練\nTrain
pli_windowskillframes.2	最高等級 : {0}
pli_windowskillframes.3	修練獎勵 (2倍)
pli_windowskillframes.4	<color=2>訓練
pli_windowskillframes.5	<color=2>習得技能
pli_windowskillframes.6	<color=2>升級
pli_windowskillframes.7	該技能的等級提高了一個階段.\n若為降級的技能, 利用Ctrl+點選可以提升到最大等級.
pli_windowskilltabframe2.1	查看全部
pli_windowskilltabframe2.2	顯示所有未習得的技能.
pli_windowskilltabframe2.3	神聖等級: {0}
pli_windowskilltabframe2.4	剩餘點數: {0}/{1}
pli_windowsmsauth.0	{0} 고객님은 인증 로그인 {1} 타입 서비스를 이용 중입니다.
pli_windowsmsauth.1	마지막으로 접속한 IP는 {0} 입니다.
pli_windowsmsauth.2	유효시간 {0} 안에 입력해주세요.
pli_windowsmsauth.3	유효시간을 초과했습니다.
pli_windowsmsauth.4	訊息
pli_windowsmsauth.5	휴대폰 로그인 인증 중입니다...
pli_windowsmsauth.6	訊息
pli_windowsmsauth.7	휴대폰 로그인 인증 번호 재발급 중입니다...
pli_windowsmsauth.8	정상처리
pli_windowsmsauth.9	미등록폰입니다.(CODE : {0})
pli_windowsmsauth.10	넥슨아이디에 등록된 신상의 주민등록번호와 입력하신 휴대폰 소유주의 주민등록번호가 일치하지 않습니다.(CODE : {0})
pli_windowsmsauth.11	분실 혹은 사용정지 된 휴대폰입니다.(CODE : {0})
pli_windowsmsauth.12	가입 해지된 휴대폰입니다.(CODE : {0})
pli_windowsmsauth.13	현재 등록하신 휴대폰으로는 휴대폰을 통한 로그인 인증 서비스를 받으실 수 없습니다.(CODE : {0})
pli_windowsmsauth.14	휴대폰 사용 요금 체납중입니다.\n체납 중에는 휴대폰을 통한 로그인 인증서비스를 받으실 수 없습니다.(CODE : {0})
pli_windowsmsauth.15	선납 방식 요금제를 사용하고 계신 경우에는 휴대폰을 통한 로그인 인증 서비스를 받으실 수 없습니다.(CODE : {0})
pli_windowsmsauth.16	법인사업자로 등록된 휴대폰으로는 휴대폰을 통한 로그인 인증 서비스를 받으실 수 없습니다.(CODE : {0})
pli_windowsmsauth.17	사용이 불가능한 휴대폰입니다.\n통신사 고객센터에서 사유를 직접 확인 하시기 바랍니다.(CODE : {0})
pli_windowsmsauth.18	현재 해당 서비스를 이용하실 수 없습니다.(CODE : {0})
pli_windowsmsauth.19	이동통신사 측에서 인증에 실패했습니다.(CODE : {0})
pli_windowsmsauth.20	휴대폰 결제 가능 요금의 한도액을 초과하셨습니다.\n로그인 인증 서비스 이용이 불가능한 휴대폰입니다.(CODE : {0})
pli_windowsmsauth.21	미성년자 명의로 가입된 휴대폰입니다.(CODE : {0})
pli_windowsmsauth.22	이용 중이신 휴대폰은 TTL요금제를 사용중이며 이 휴대폰으로는 휴대폰 인증서비스를 받으실 수 없습니다.(CODE : {0})
pli_windowsmsauth.23	듀얼넘버 서비스를 이용하시는 중에는 휴대폰 인증서비스를 이용하실 수 없습니다.(CODE : {0})
pli_windowsmsauth.24	잠시 후 다시 이용해 주세요.\n연속해서 이용하실 수 없습니다.(CODE : {0})
pli_windowsmsauth.25	인증번호 입력 가능한 시간을 초과하셨거나 올바른 인증번호를 입력하지 않으셨습니다.(CODE : {0})
pli_windowsmsauth.26	휴대폰 인증이 불가능한 휴대폰입니다.\nSKT, LGT사용자의 경우 해당 이동통신사 고객센터를 통해서 본인인증 후에 사용이 가능합니다.(CODE : {0})
pli_windowsmsauth.27	휴대폰으로 결제 가능한 금액의 한도를 초과한 상태입니다.\n이 휴대폰으로는 로그인 인증 서비스 이용이 불가능합니다.(CODE : {0})
pli_windowsmsauth.28	이동통신사 장애로 현재 서비스를 이용하실 수 없습니다.(CODE : {0})
pli_windowsmsauth.29	다시 시도해 주시기 바랍니다.(CODE : {0})
pli_windowsmsauth.30	이용 중인 이동통신사와 휴대폰번호가 일치하지 않습니다.\n통신사와 휴대폰 번호를 다시 한 번 확인하신 후 재입력 해 주시기 바랍니다.(CODE : {0})
pli_windowsmsauth.31	로그인 인증 서비스 이용이 불가능한 휴대폰입니다.(CODE : {0})
pli_windowsmsauth.32	휴대폰 인증에 실패하였습니다.(CODE : {0})
pli_windowsmsauth.33	이동 통신사 장애로 인해 현재 서비스 이용이 불가능합니다.\n임의의 인증 코드를 입력하면 로그인이 가능합니다.(CODE : {0})
pli_windowsmsauth.34	휴대폰 인증사 장애로 인해 현재 서비스 이용이 불가능합니다.\n임의의 인증 코드를 입력하면 로그인이 가능합니다.(CODE : {0})
pli_windowsmsauth.35	휴대폰 인증사 장애로 인해 현재 서비스 이용이 불가능합니다.\n임의의 인증 코드를 입력하면 로그인이 가능합니다.(CODE : {0})
pli_windowsmsauth.36	휴대폰 인증 번호가 잘못 되었습니다.\n다시 확인 후 입력해 주세요.(CODE : {0})
pli_windowsmsauth.37	잠시 후 다시 시도해 주시기 바랍니다.(CODE : {0})
pli_windowsmsauth.38	인증번호 입력 유효시간이 경과되었습니다.\n다시 시도해 주세요.(CODE : {0})
pli_windowsmsauth.39	이미 접속 중입니다.\n다시 로그인하십시오.(CODE : {0})
pli_windowsmsauth.40	휴대폰 인증에 실패하였습니다.
pli_windowsmsauth.41	인증 번호를 재발급 받으시려면 {0}{이} 지나야 합니다.
pli_windowspecialization.1	可使用特性技術[{0}]
pli_windowspecialization.2	\n或
pli_windowspecialization.3	等級{0}{1}\n\n{2}\n\n\n特性發動條件\n\n{3}
pli_windowspecialization.4	{0}特性升級至{1}等級嗎?\n\n<升級費用>\nAP : <color={2}>{3}</color> / {4}\n{5}
pli_windowspecialization.5	若將特性圖示放入這裡\n即可套用特性.
pli_windowspecialization.6	如果套用可以使用特性技術的特性,這裡會標示特性技術.\n可以將特性技術登錄在快捷鍵欄位進行使用.
pli_windowspecialization.7	沒有已設定的特性.
pli_windowspecialization.8	完成G22主線任務[闔上雙眼的人]後\n可以使用.
pli_windowspecialization.9	請稍後再嘗試.
pli_windowspecialization.10	只有當特性經驗值最大時可升級.
pli_windowspecialization.11	升級所需要的AP不足.
pli_windowspecialization.12	升級所需要的結晶不足.
pli_windowspecialization.13	特性已經是最高等級.
pli_windowspecialization.14	請稍後再嘗試.
pli_windowspecialization.15	最多只能持有{0}.\n\n
pli_windowspecialization.16	透過無止盡的修行累積的璞黎.\n
pli_windowspecialization.17	每當角色升級時 
pli_windowspecialization.18	透過持續挑戰累積的璞黎.\n
pli_windowspecialization.19	每當完成地下城或任務時
pli_windowspecialization.20	透過和世界交感累積的璞黎.\n
pli_windowspecialization.21	每當完成重複任務的時候
pli_windowspecialization.22	{1}璞黎獲得\n\n一週獲得量 : {2} / {3}
pli_windowspecialization.23	升級所需要的材料不足.
pli_windowspecialization.24	請輸入要分配至{0}的\nAP.\n1每個AP可獲得{1}璞黎.\n\n現在持有量:{2} AP\n最大分配量: {3} AP
pli_windowspecialization.25	有尚未儲存到特性組合裡的內容.\n是否要儲存?
pli_windowspecialization.26	儲存
pli_windowspecialization.27	關閉
pli_windowspecialization.28	超過璞黎持有限制,無法投入AP.
pli_windowspecialization.29	要啟動所選擇的特性組合嗎?\n變更組合時,現在發動中的特性技術之效果將會結束.
pli_windowspecialization.30	C7的 G22 主線[闔上雙眼的人]任務等\n特性習得任務完成後可以使用.
pli_windowspecializationlevelup.1	{0}特性已學習.
pli_windowspecializationlevelup.2	Lv.{0}
pli_windowspecializationpopupview.1	邊境之痕 : {0}個 \n邊境石 : {1}個
pli_windowstopwatchframe.1	{0}小時
pli_windowstopwatchframe.2	{0}分鐘
pli_windowstopwatchframe.3	{0}秒
pli_windowstopwatchframe.4	經過
pli_windowstopwatchframe.5	倒數
pli_windowswitchplayer.1	控制切換
pli_windowswitchplayer.2	我的角色
pli_windowswitchplayer.3	巨魔像
pli_windowswitchplayer.4	該狀態下無法控制巨魔像.
pli_windowswitchplayer.5	靈魂歸還
pli_windowsystemmenu.0	현재 테스트 서버에서 엘프는 대륙 이동을 할 수 없습니다.
pli_windowsystemmenu.1	向{0} 移動.\n現在就要移動嗎?
pli_windowsystemmenu.2	移動歐拉大陸的{0}.
pli_windowsystemmenu.3	前往伊利亞大陸的 {0}探險.
pli_windowsystemmenu2.1	使用這動作可以大陸移動.\n使用動作後系統選項的大陸移動按鈕會移除.
pli_windowsystemmenu2.2	變更夥伴外型中無法進行大陸移動.
pli_windowsystemmenu2.3	進行新手教學中的角色無法使用.\n(首次重生後可使用)
pli_windowtalenttitleballoon.1	才能稱號
pli_windowtaskbar.2	點選的話,就可以使用緊急逃離炸彈B.
pli_windowtaskbar.3	已使用此炸彈.\n明天上午 7點後才可以再次使用.
pli_windowtaskbar.4	角色{0}
pli_windowtaskbar.5	技能{0}
pli_windowtaskbar.6	物品欄{0}
pli_windowtaskbar.7	任務{0}
pli_windowtaskbar.8	動作{0}
pli_windowtaskbar.9	關閉好友/隊伍視窗
