animaltraininguse.1	訓練杖已無法使用.
whitedragonfearuse.1	怪物因憤怒而失去了理性.
windbreakeruse.1	耐力值不足,暴風防護技能取消.
windbreakeruse.2	好像只有裝備了盾牌才可以使用暴風防護
windbreakeruse.3	現在無法使用技能. {0}秒後再試一試
windbreakeruse.4	暴風防護技能的使用時間所剩不多了.
windofhealing.1	拉姆周圍颳起了颶風.\n生命力已恢復 {0}.\n負傷已恢復 {1}.\n{2}秒內獲得下列效果.\n防禦 {3} 增加\n保護 {4} 增加\n魔力恢復速度 {5}% 增加\n耐力恢復速度 {6}% 增加\n移動速度 {7}% 增加
window.refine_production_view_title	Production Form\n生產技能形式
window.weaving_form_title	Production Form\n生產技能形式
windpressureuse.1	需要鋼瓶.
windpressureuse.2	風之結晶不足,無法使用技能.
windpressureuse.3	目前無法使用技能.請在{0}秒後再試.
windpressureuse.4	風之結晶不足,無法攻擊敵人.
windpressureuse.5	如要連續使用旋風衝擊,鋼瓶承受力不足.
wirebinding.1	無法使用的對象.
yarnbindinguse.1	被繩子綁住無法動彈.
yarnbindinguse.2	擺脫了繩子的捆綁.
